Date;Open;High;Low;Close;Volume
11/02/1999;35.004;36.343;34.526;36.343;316714
10/02/1999;34.191;34.741;33.522;34.430;333884
09/02/1999;36.726;36.726;33.952;34.191;452644
08/02/1999;36.821;36.941;35.387;35.865;373585
05/02/1999;35.913;37.658;35.578;36.869;376652
04/02/1999;37.300;37.897;36.534;36.821;222172
03/02/1999;36.821;37.013;35.913;36.582;445732
02/02/1999;37.778;38.017;36.726;36.821;367595
01/02/1999;41.125;42.034;36.821;37.300;956939
29/01/1999;39.212;39.858;37.324;38.232;381492
28/01/1999;37.204;39.786;36.869;39.212;442020
27/01/1999;37.778;38.136;36.917;37.610;252622
26/01/1999;36.821;37.634;35.913;37.061;240230
25/01/1999;36.104;37.300;35.435;37.300;276851
22/01/1999;36.152;37.969;35.124;36.821;471988
21/01/1999;38.973;39.930;37.061;37.084;695530
20/01/1999;37.873;39.069;37.395;38.973;621835
19/01/1999;36.630;38.710;36.463;36.893;789533
18/01/1999;35.339;37.778;34.622;36.630;633019
15/01/1999;30.653;34.239;30.366;33.020;841955
14/01/1999;33.426;33.474;31.179;31.681;422400
13/01/1999;33.952;34.359;31.633;32.565;745782
12/01/1999;35.865;36.678;34.933;34.933;433403
11/01/1999;38.973;39.212;36.917;37.300;420618
08/01/1999;38.734;39.380;36.917;38.256;646885
07/01/1999;38.925;39.212;38.256;38.973;579640
06/01/1999;36.152;39.165;36.104;38.949;755954
05/01/1999;36.391;36.391;35.459;35.841;433671
04/01/1999;34.933;35.865;33.904;35.865;370806
30/12/1998;32.245;33.551;32.082;33.551;237581
29/12/1998;31.719;32.341;31.719;32.078;121453
28/12/1998;31.929;32.585;31.604;31.939;100080
23/12/1998;31.987;32.441;31.423;32.441;145576
22/12/1998;30.289;31.705;30.122;31.389;290406
21/12/1998;29.012;30.284;29.012;30.284;182504
18/12/1998;30.241;30.241;29.161;29.161;209138
17/12/1998;29.950;30.256;29.596;29.888;264614
16/12/1998;29.964;30.256;29.634;29.888;351701
15/12/1998;30.299;30.299;28.477;29.161;499122
14/12/1998;30.715;31.317;30.079;30.179;344362
11/12/1998;31.423;32.221;30.691;31.776;306171
10/12/1998;31.561;32.695;31.494;32.078;432334
09/12/1998;31.786;32.498;31.360;31.662;517384
08/12/1998;32.441;32.805;31.714;31.714;333382
07/12/1998;32.953;33.694;32.341;32.723;266511
04/12/1998;31.346;33.024;31.203;32.733;526823
03/12/1998;30.256;32.805;30.256;32.718;685723
02/12/1998;30.691;31.203;29.873;30.983;269865
01/12/1998;30.763;30.968;29.830;30.194;522437
30/11/1998;33.608;34.885;31.714;31.714;462262
27/11/1998;32.078;34.263;31.819;33.904;607887
26/11/1998;32.006;32.403;31.346;32.063;226724
25/11/1998;30.619;31.714;30.146;31.714;357884
24/11/1998;32.661;32.661;30.107;30.471;572604
23/11/1998;29.902;31.274;29.902;31.274;845985
20/11/1998;27.702;29.089;27.702;29.012;724037
19/11/1998;26.899;27.697;26.535;26.899;467823
18/11/1998;26.980;27.300;26.406;26.421;280555
17/11/1998;25.880;26.684;25.397;26.684;205352
16/11/1998;26.684;26.975;25.517;26.024;239524
13/11/1998;26.100;26.717;24.862;26.660;335976
12/11/1998;25.149;25.880;24.948;25.770;304804
10/11/1998;26.239;26.449;25.306;25.440;281288
09/11/1998;26.005;26.521;25.239;26.024;234351
06/11/1998;26.966;27.339;25.450;25.450;329300
05/11/1998;27.047;27.267;25.952;26.172;393613
04/11/1998;27.339;27.774;26.827;27.520;346011
03/11/1998;27.066;27.339;26.655;26.755;284830
02/11/1998;25.880;27.119;25.880;26.746;290929
30/10/1998;25.880;26.009;25.522;25.655;272786
29/10/1998;24.321;25.297;24.116;25.215;164874
28/10/1998;24.933;24.933;23.987;24.493;292505
27/10/1998;24.756;25.502;24.431;25.502;379580
26/10/1998;24.183;24.350;23.771;24.168;171626
23/10/1998;24.278;24.422;23.771;23.963;268476
22/10/1998;25.732;26.100;24.383;24.642;344346
21/10/1998;26.024;26.100;25.149;25.440;352541
20/10/1998;24.350;26.172;24.187;26.019;458201
19/10/1998;24.092;24.493;23.877;24.278;229573
16/10/1998;25.660;25.660;23.910;24.489;966060
15/10/1998;23.709;24.599;23.264;23.767;650297
14/10/1998;23.695;23.905;22.891;23.838;323751
13/10/1998;23.695;24.058;23.217;23.327;319430
12/10/1998;23.327;23.910;22.743;23.910;364829
09/10/1998;21.419;22.298;20.630;22.007;366308
08/10/1998;21.792;21.792;19.903;20.845;447877
07/10/1998;22.820;23.035;20.414;21.361;456843
06/10/1998;20.194;22.126;19.903;21.935;499855
05/10/1998;19.391;20.706;19.181;19.181;530273
02/10/1998;19.319;20.558;18.750;19.324;604389
01/10/1998;21.289;21.992;19.683;19.903;683096
30/09/1998;24.063;24.642;21.868;21.868;528940
29/09/1998;23.269;24.905;23.236;24.785;1113482
28/09/1998;23.924;24.058;22.868;23.475;388263
25/09/1998;24.058;24.058;22.380;23.341;638693
24/09/1998;28.357;28.357;24.785;25.259;720972
23/09/1998;25.287;26.162;24.493;26.162;424699
22/09/1998;24.278;25.019;23.695;24.493;348588
21/09/1998;24.140;24.350;23.059;24.058;401114
18/09/1998;25.440;25.517;24.723;25.077;269798
17/09/1998;26.535;26.684;25.149;25.732;345814
16/09/1998;26.827;27.257;26.134;27.047;540376
15/09/1998;25.517;25.938;25.149;25.732;369690
14/09/1998;25.369;25.369;24.422;25.149;365426
11/09/1998;24.493;24.713;22.820;23.695;1128792
10/09/1998;26.244;26.425;24.627;24.627;917091
09/09/1998;28.644;28.644;26.827;26.975;473623
08/09/1998;27.090;28.649;26.975;28.649;579935
07/09/1998;27.296;27.296;26.315;26.794;293210
04/09/1998;25.450;26.382;24.723;26.009;601374
03/09/1998;26.827;26.899;25.522;25.660;418633
02/09/1998;28.797;28.797;27.052;27.339;494674
01/09/1998;27.702;28.142;26.688;27.559;682800
31/08/1998;29.022;29.304;27.893;28.467;242113
28/08/1998;28.214;29.701;27.850;28.869;728306
27/08/1998;29.978;30.437;29.161;29.452;547804
26/08/1998;31.791;31.834;30.179;31.121;543245
25/08/1998;32.441;32.843;31.896;32.006;316766
24/08/1998;32.293;32.790;31.757;32.078;219615
21/08/1998;33.474;33.861;31.929;32.020;329577
20/08/1998;35.865;35.865;33.900;33.900;329093
19/08/1998;35.578;35.836;34.641;35.286;275616
18/08/1998;33.536;35.109;33.168;34.956;231640
17/08/1998;33.397;33.747;32.738;32.805;216873
14/08/1998;33.751;34.722;33.608;33.971;192345
13/08/1998;33.536;34.038;32.661;33.316;294748
12/08/1998;33.680;34.096;33.068;34.096;337323
11/08/1998;34.440;34.622;31.714;33.168;764900
10/08/1998;35.985;36.085;34.650;34.650;260925
07/08/1998;36.448;36.740;35.444;36.377;328033
06/08/1998;37.692;37.763;36.372;36.448;440217
05/08/1998;37.180;38.127;37.108;37.692;452411
04/08/1998;38.710;38.782;37.763;37.983;368071
03/08/1998;38.782;39.514;38.347;38.567;209788
31/07/1998;40.097;40.461;38.419;40.312;268681
30/07/1998;37.763;39.877;37.763;39.729;234346
29/07/1998;37.180;38.490;37.180;37.763;306099
28/07/1998;38.347;38.347;37.324;37.400;170994
27/07/1998;37.907;39.002;36.888;36.888;230569
24/07/1998;38.567;39.657;37.763;37.907;661214
23/07/1998;38.275;39.514;38.275;38.275;157446
22/07/1998;39.729;40.097;38.347;38.710;286608
21/07/1998;41.556;41.627;40.604;40.680;266977
20/07/1998;39.729;41.847;39.729;41.771;601874
17/07/1998;39.585;39.729;39.222;39.729;195481
16/07/1998;39.365;39.514;38.710;39.222;297587
15/07/1998;39.002;39.365;38.275;38.930;327474
10/07/1998;37.543;38.567;37.032;37.615;150306
09/07/1998;38.639;39.437;38.275;38.275;274345
08/07/1998;38.859;39.365;38.639;39.365;184183
07/07/1998;39.002;39.222;38.275;38.567;512998
06/07/1998;37.907;38.567;37.615;38.275;286548
03/07/1998;37.692;38.490;37.252;38.347;334140
02/07/1998;37.615;38.275;37.108;37.543;593820
01/07/1998;36.305;37.543;36.085;37.400;746429
30/06/1998;36.888;36.888;36.013;36.013;369881
29/06/1998;36.362;37.032;35.975;36.817;509136
26/06/1998;36.157;36.233;35.722;36.152;233852
25/06/1998;35.793;36.668;35.650;36.085;393122
24/06/1998;35.138;35.865;34.794;34.956;465701
23/06/1998;34.732;35.358;34.220;34.775;1390629
22/06/1998;34.665;35.497;34.569;34.933;220574
19/06/1998;35.578;36.013;35.181;35.468;167824
18/06/1998;35.525;35.903;35.358;35.392;376353
17/06/1998;34.445;35.320;34.335;35.100;397367
16/06/1998;33.900;34.220;33.178;34.029;361598
15/06/1998;34.995;34.995;33.622;33.933;499577
12/06/1998;36.195;36.668;35.224;35.224;494277
11/06/1998;36.248;37.032;36.248;36.377;0
10/06/1998;36.597;36.817;35.865;36.817;333224
09/06/1998;36.817;37.615;36.310;36.597;337724
08/06/1998;37.763;38.055;36.668;37.400;392106
05/06/1998;37.180;37.252;36.128;37.252;226192
04/06/1998;37.032;37.472;36.525;36.525;208916
03/06/1998;37.543;37.835;37.108;37.763;231087
02/06/1998;36.888;37.400;36.525;37.400;221567
29/05/1998;36.668;37.543;36.295;37.252;671158
28/05/1998;36.888;37.252;36.128;36.377;433484
27/05/1998;36.740;37.180;36.310;36.740;340327
26/05/1998;38.055;38.567;37.983;38.199;254112
25/05/1998;37.983;38.419;37.763;38.419;229280
22/05/1998;37.983;38.199;37.400;37.907;209157
20/05/1998;37.543;37.835;37.180;37.763;295497
19/05/1998;36.740;37.108;36.448;37.032;877374
18/05/1998;36.817;37.108;36.166;36.415;276161
15/05/1998;37.907;37.907;37.180;37.615;122620
14/05/1998;38.782;38.782;37.108;37.763;437911
13/05/1998;40.461;40.532;38.127;38.639;515223
12/05/1998;40.097;40.241;39.074;39.805;376739
11/05/1998;39.074;39.949;38.710;39.949;564011
07/05/1998;38.710;39.294;37.692;38.127;610792
06/05/1998;37.324;38.639;37.324;38.275;314802
05/05/1998;37.692;39.365;37.180;38.275;415126
04/05/1998;37.543;38.199;37.324;37.835;304904
30/04/1998;34.703;36.960;34.430;36.960;577309
29/04/1998;34.846;35.942;34.555;34.808;281461
28/04/1998;35.114;35.114;34.593;34.918;400236
27/04/1998;36.085;36.157;34.703;34.765;316299
24/04/1998;37.108;37.108;35.889;36.238;249619
23/04/1998;36.597;37.543;36.597;37.324;311342
22/04/1998;37.907;38.490;37.324;37.692;569201
21/04/1998;37.400;38.055;37.032;37.692;221553
20/04/1998;36.668;37.543;36.448;37.472;451624
17/04/1998;36.525;36.960;35.502;35.942;514728
16/04/1998;38.347;38.347;36.343;37.252;458827
15/04/1998;39.002;39.074;38.199;38.347;364906
14/04/1998;39.877;40.824;38.639;39.222;525819
09/04/1998;38.490;39.437;38.347;39.150;187661
08/04/1998;39.949;39.949;36.233;39.150;381080
07/04/1998;39.805;42.139;39.805;40.241;584784
06/04/1998;37.615;40.097;37.615;39.805;447322
03/04/1998;37.907;38.639;37.692;38.055;520248
02/04/1998;36.013;38.782;36.013;37.400;594746
01/04/1998;35.722;36.740;35.430;36.166;302033
31/03/1998;35.358;36.085;35.066;35.100;285308
30/03/1998;35.946;36.176;35.286;35.607;360669
27/03/1998;34.918;36.597;34.555;36.157;676510
26/03/1998;34.626;35.306;33.933;34.985;490818
25/03/1998;33.718;34.148;33.259;34.043;445896
24/03/1998;31.346;32.915;31.346;32.761;569201
23/03/1998;31.494;32.388;31.423;31.925;451308
20/03/1998;32.231;33.096;32.231;32.723;301587
19/03/1998;33.249;33.302;32.723;33.125;329689
18/03/1998;32.958;33.680;32.451;33.316;355138
17/03/1998;33.943;34.120;32.910;33.637;362991
16/03/1998;32.063;33.971;32.063;33.933;686967
13/03/1998;30.619;32.360;30.605;32.006;837447
12/03/1998;29.969;31.203;29.964;30.471;796111
11/03/1998;29.744;30.036;29.232;30.036;391894
10/03/1998;30.036;30.385;29.902;29.964;425124
09/03/1998;29.816;30.107;29.424;29.883;416292
06/03/1998;29.672;30.729;29.596;30.107;1113198
05/03/1998;26.827;29.122;26.631;29.122;1168664
04/03/1998;26.688;26.827;26.478;26.478;331415
03/03/1998;27.076;27.076;26.703;26.784;299908
02/03/1998;26.827;27.310;26.464;27.128;210388
27/02/1998;26.980;27.520;26.464;26.827;384943
26/02/1998;26.535;27.119;26.392;26.980;442954
